from,to, exports ,exports.log
6,37,659,2.818885415
6,38,409,2.611723308
6,39,"1,606",3.205745541
6,41,"1,464",3.165541077
6,46,"2,572",3.410270964
6,40,"1,650",3.217483944
6,42,"32,783",4.515648694
6,47,434,2.63748973
7,0,"46,340",4.665956029
7,1,"3,118",3.493876111
7,43,"3,738",3.572639297
7,2,"11,624",4.065355601
7,3,979,2.990782692
7,4,"29,725",4.473121863
7,54,271,2.432969291
7,55,46,1.662757832
7,57,"2,517",3.400883216
7,5,"46,633",4.668693355
7,6,"7,257",3.860757123
7,8,696,2.84260924
7,9,"9,446",3.975247941
7,10,"82,498",4.91644342
7,11,"5,816",3.764624398
7,12,"20,807",4.318209467
7,13,"1,003",3.001300933
7,52,266,2.424881637
7,14,"6,567",3.817367016
7,15,"39,549",4.597135507
7,16,"47,921",4.680525872
7,17,"2,791",3.445759836
7,61,"48,165",4.682731565
7,18,729,2.862727528
7,19,"5,341",3.727622578
7,20,"33,177",4.520837113
7,21,"45,511",4.658116378
7,22,"3,865",3.587149498
7,23,"25,245",4.402175375
7,24,"164,250",5.215505378
7,48,"2,799",3.447002898
7,56,"1,237",3.0923697
7,25,"104,673",5.019834672
7,53,"1,671",3.22297645
7,26,902,2.955206538
7,27,900,2.954242509
7,28,649,2.812244697
7,44,"20,223",4.305845582
7,58,93,1.968482949
7,29,"39,817",4.600068535
7,30,441,2.644438589
7,49,"2,025",3.306425028
7,31,"41,675",4.619875609
7,32,"5,124",3.709609121
7,59,"1,314",3.118595365
7,51,"9,905",3.99585448
7,45,"11,311",4.053501002
7,33,"14,516",4.16184696
7,34,"2,091",3.320354033
7,35,"2,773",3.44294987
7,36,"48,173",4.682803693
7,60,"27,373",4.437322397
7,50,"4,190",3.622214023
7,37,"2,042",3.310055738
7,38,"1,346",3.12904506
7,39,"9,930",3.996949248
7,41,"41,525",4.618309641
7,46,"23,015",4.362010979
7,40,"22,082",4.344038406
7,42,"339,933",5.531393327
7,47,"35,568",4.551059445
8,0,10,1
8,1,62,1.792391689
8,43,3,0.477121255
8,2,196,2.292256071
8,3,35,1.544068044
8,4,1,0
8,54,1,0
8,55,0,#NUM!
8,57,2,0.301029996
8,5,15,1.176091259
8,6,44,1.643452676
8,7,24,1.380211242
8,9,107,2.029383778
8,10,288,2.459392488
8,11,580,2.763427994
8,12,25,1.397940009
8,13,119,2.075546961
8,52,0,#NUM!
8,14,12,1.079181246
8,15,76,1.880813592
8,16,300,2.477121255
8,17,361,2.557507202
8,61,9,0.954242509
8,18,13,1.113943352
8,19,113,2.053078443
8,20,1,0
8,21,2,0.301029996
8,22,40,1.602059991
8,23,232,2.365487985
8,24,1,0
8,48,11,1.041392685
8,56,1,0
8,25,3,0.477121255
8,53,1,0
8,26,22,1.342422681
8,27,67,1.826074803
8,28,24,1.380211242
8,44,21,1.322219295
8,58,4,0.602059991
8,29,0,#NUM!
8,30,850,2.929418926
8,49,2,0.301029996
8,31,153,2.184691431
8,32,16,1.204119983
8,59,0,#NUM!
8,51,5,0.698970004
8,45,7,0.84509804
8,33,228,2.357934847
8,34,7,0.84509804
8,35,94,1.973127854
8,36,521,2.716837723
8,60,5,0.698970004
8,50,2,0.301029996
8,37,35,1.544068044
8,38,11,1.041392685
8,39,131,2.117271296
8,41,2,0.301029996
8,46,46,1.662757832
8,40,0,#NUM!
8,42,73,1.86332286
8,47,8,0.903089987
9,0,658,2.818225894
9,1,"6,076",3.783617765
9,43,27,1.431363764
9,2,"5,234",3.718833718
9,3,915,2.961421094
9,4,416,2.619093331
9,54,3,0.477121255
9,55,1,0
9,57,2,0.301029996
9,5,440,2.643452676
9,6,"2,808",3.448397103
9,7,"3,320",3.521138084
9,8,118,2.071882007
9,10,"49,724",4.696566058
9,11,"1,909",3.280805928
9,12,"4,359",3.639386869
9,13,229,2.359835482
9,52,1,0
9,14,"1,059",3.02489596
9,15,"8,363",3.922362097
9,16,"7,209",3.857875026
9,17,209,2.320146286
9,61,66,1.819543936
9,18,587,2.768638101
9,19,"5,022",3.700876708
9,20,219,2.340444115
9,21,495,2.694605199
9,22,905,2.956648579
9,23,"5,681",3.754424789
9,24,736,2.866877814
9,48,118,2.071882007
9,56,13,1.113943352
9,25,786,2.895422546
9,53,1,0
9,26,513,2.710117365
9,27,323,2.509202522
9,28,207,2.315970345
9,44,147,2.167317335
9,58,8,0.903089987
9,29,885,2.946943271
9,30,58,1.763427994
9,49,18,1.255272505
9,31,"3,764",3.575649615
9,32,"1,026",3.011147361
9,59,9,0.954242509
9,51,82,1.913813852
9,45,92,1.963787827
9,33,"11,357",4.055263626
9,34,528,2.722633923
9,35,"2,006",3.302330929
9,36,"5,304",3.724603515
9,60,297,2.472756449
9,50,21,1.322219295
9,37,"13,141",4.118628415
9,38,764,2.883093359
9,39,"2,500",3.397940009
9,41,159,2.201397124
9,46,275,2.439332694
9,40,"2,396",3.379486814
9,42,"4,168",3.61992771
9,47,70,1.84509804
10,0,"11,898",4.075473965
10,1,"57,976",4.763248248
10,43,951,2.978180517
10,2,"41,927",4.622493788
10,3,"4,042",3.606596309
10,4,"14,213",4.152685756
10,54,125,2.096910013
10,55,8,0.903089987
10,57,81,1.908485019
10,5,"16,441",4.215928229
10,6,"64,630",4.810434156
10,7,"113,799",5.056138446
10,8,965,2.984527313
10,9,"45,432",4.657361856
10,11,"23,411",4.369419965
10,12,"49,684",4.696216553
10,13,"2,073",3.316599302
10,52,14,1.146128036
10,14,"14,805",4.170408412
10,15,"128,719",5.109642657
10,16,"96,835",4.986032357
10,17,"4,895",3.689752696
10,61,"5,646",3.751740874
10,18,"3,447",3.537441283
10,19,"26,633",4.425420089
10,20,"4,121",3.615002615
10,21,"13,850",4.141449773
10,22,"10,152",4.006551609
10,23,"76,906",4.885960224
10,24,"24,467",4.388580722
10,48,"1,219",3.086003706
10,56,141,2.149219113
10,25,"26,945",4.430478188
10,53,76,1.880813592
10,26,"2,733",3.436639632
10,27,"11,046",4.043205039
10,28,"1,431",3.155639634
10,44,"5,128",3.709948017
10,58,37,1.568201724
10,29,"15,832",4.199535781
10,30,424,2.627365857
10,49,182,2.260071388
10,31,"70,271",4.846776134
10,32,"14,396",4.158241838
10,59,87,1.939519253
10,51,"1,519",3.181557774
10,45,"3,288",3.516931809
10,33,"66,733",4.824340649
10,34,"9,557",3.980321586
10,35,"14,167",4.151277894
10,36,"37,363",4.57244174
10,60,"8,804",3.944680034
10,50,481,2.682145076
10,37,"15,583",4.192651071
10,38,"4,747",3.676419232
10,39,"30,523",4.484627217
10,41,"10,133",4.005738043
10,46,"4,484",3.651665604
10,40,"28,391",4.45318069
10,42,"134,468",5.128618945
10,47,"2,171",3.336659823
11,0,"1,262",3.101059355
11,1,596,2.77524626
11,43,117,2.068185862
11,2,"2,003",3.301680949
11,3,188,2.274157849
11,4,938,2.972202838
11,54,8,0.903089987
11,55,5,0.698970004
11,57,9,0.954242509
11,5,"1,493",3.174059808
11,6,"1,533",3.185542155
11,7,"7,269",3.861474669
11,8,57,1.755874856
11,9,850,2.929418926
11,10,"18,425",4.265407497
11,12,"2,301",3.361916619
11,13,260,2.414973348
11,52,2,0.301029996
11,14,"3,441",3.536684673
11,15,"4,381",3.641573253
11,16,"9,430",3.974511693
11,17,394,2.595496222
11,61,711,2.851869601
11,18,141,2.149219113
11,19,"1,447",3.160468531
11,20,365,2.562292864
11,21,"1,057",3.024074987
11,22,850,2.929418926
11,23,"2,455",3.390051496
11,24,"3,169",3.500922239
11,48,118,2.071882007
11,56,7,0.84509804
11,25,"1,399",3.145817714
11,53,5,0.698970004
11,26,395,2.596597096
11,27,310,2.491361694
11,28,345,2.537819095
11,44,163,2.212187604
11,58,19,1.278753601
11,29,661,2.820201459
11,30,67,1.826074803
11,49,22,1.342422681
11,31,"3,276",3.515343893
11,32,"9,824",3.992288354
11,59,12,1.079181246
11,51,217,2.336459734
11,45,184,2.264817823
11,33,"3,253",3.512284063
11,34,352,2.546542663
11,35,473,2.674861141
11,36,"1,633",3.212986185
11,60,"1,497",3.1752218
11,50,78,1.892094603
11,37,305,2.484299839
11,38,107,2.029383778
11,39,"13,790",4.139564266
11,41,485,2.685741739
11,46,589,2.770115295
11,40,"1,287",3.109578547
11,42,"7,921",3.898780013
11,47,185,2.267171728
12,0,"2,781",3.444200989
12,1,"2,378",3.37621185
12,43,127,2.103803721
12,2,"9,132",3.960565903
12,3,"2,561",3.408409578
12,4,"4,861",3.686725621
12,54,7,0.84509804
12,55,2,0.301029996
12,57,14,1.146128036
12,5,"3,154",3.498861689
12,6,"5,862",3.768045814
12,7,"6,255",3.796227314
12,8,451,2.654176542
12,9,"2,967",3.472317546
12,10,"39,936",4.601364564
12,11,"2,267",3.35545152
12,13,186,2.269512944
12,52,40,1.602059991
12,14,"1,544",3.188647296
12,15,"57,475",4.75947898
12,16,"22,917",4.360157765
12,17,"2,164",3.335257256
12,61,"1,665",3.221414238
12,18,364,2.561101384
12,19,"1,583",3.199480915
12,20,634,2.802089258
12,21,"1,568",3.195346058
12,22,"2,297",3.361160995
12,23,"24,726",4.393153865
12,24,"4,177",3.620864475
12,48,225,2.352182518
12,56,18,1.255272505
12,25,"3,462",3.539327064
12,53,11,1.041392685
12,26,553,2.742725131
12,27,748,2.873901598
12,28,240,2.380211242
12,44,542,2.733999287
12,58,10,1
12,29,"6,507",3.813380807
12,30,186,2.269512944
12,49,35,1.544068044
12,31,"8,814",3.945173046
12,32,"2,496",3.397244581
12,59,10,1
12,51,238,2.376576957
12,45,552,2.741939078
12,33,"6,562",3.817036226
12,34,"26,842",4.428814872
12,35,"2,002",3.301464073
12,36,"4,628",3.66539335
12,60,"1,788",3.252367514
12,50,84,1.924279286
12,37,992,2.996511672
12,38,789,2.897077003
12,39,"3,108",3.49248101
12,41,"3,391",3.53032779
12,46,994,2.997386384
12,40,"8,687",3.938869822
12,42,"19,083",4.28064665
12,47,422,2.625312451
13,0,149,2.173186268
13,1,89,1.949390007
13,43,2,0.301029996
13,2,246,2.390935107
13,3,37,1.568201724
13,4,32,1.505149978
13,54,2,0.301029996
13,55,1,0
13,57,2,0.301029996
13,5,68,1.832508913
13,6,232,2.365487985
13,7,182,2.260071388
13,8,48,1.681241237
13,9,57,1.755874856
13,10,886,2.947433722
13,11,410,2.612783857
13,12,231,2.36361198
13,52,0,#NUM!
13,14,"2,379",3.376394442
13,15,273,2.436162647
13,16,466,2.668385917
13,17,22,1.342422681
13,61,5,0.698970004
13,18,6,0.77815125
13,19,51,1.707570176
13,20,2,0.301029996
13,21,63,1.799340549
13,22,66,1.819543936
13,23,146,2.164352856
13,24,134,2.127104798
13,48,40,1.602059991
13,56,3,0.477121255
13,25,116,2.064457989
13,53,1,0
13,26,634,2.802089258
13,27,66,1.819543936
13,28,"1,133",3.05422991
13,44,21,1.322219295
13,58,6,0.77815125
13,29,71,1.851258349
13,30,22,1.342422681
13,49,5,0.698970004
13,31,276,2.440909082
13,32,"1,100",3.041392685
13,59,1,0
13,51,22,1.342422681
13,45,21,1.322219295
13,33,295,2.469822016
13,34,30,1.477121255
13,35,26,1.414973348
13,36,"1,487",3.172310969
13,60,70,1.84509804
13,50,2,0.301029996
13,37,38,1.579783597
13,38,14,1.146128036
13,39,"2,845",3.454082271
13,41,9,0.954242509
13,46,224,2.350248018
13,40,60,1.77815125
13,42,436,2.639486489
